
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server


   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-11-17 22:02:06 / .......................................... ~ 500.40ms
  2025-11-17 22:02:06 /favicon.ico ................................. ~ 0.07ms

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server


   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-11-18 06:41:53 /favicon.ico ................................. ~ 0.17ms
  2025-11-18 06:42:12 / ............................................ ~ 0.13ms
  2025-11-18 06:42:12 /favicon.ico ................................. ~ 0.18ms
  2025-11-18 06:42:18 /me .......................................... ~ 0.15ms
  2025-11-18 06:42:18 /favicon.ico ................................. ~ 0.07ms
  2025-11-18 06:42:22 /auth/me ................................... ~ 500.38ms
  2025-11-18 06:42:22 /favicon.ico ................................. ~ 0.08ms

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-11-18 07:03:06 /api/auth/login .............................. ~ 0.14ms
  2025-11-18 07:03:11 /api/auth .................................... ~ 0.12ms
  2025-11-18 07:03:15 /api/login ................................. ~ 500.33ms
  2025-11-18 07:03:17 /api/login ................................... ~ 0.15ms
  2025-11-18 07:03:30 /api/login ................................. ~ 500.49ms
  2025-11-18 07:03:31 /favicon.ico ................................. ~ 0.08ms
  2025-11-18 07:03:33 /api/login ................................... ~ 0.16ms
  2025-11-18 07:03:33 /favicon.ico ................................. ~ 0.06ms
  2025-11-18 07:03:42 /api/auth/login .............................. ~ 0.12ms
  2025-11-18 07:03:54 /api/login ................................. ~ 500.56ms
  2025-11-18 07:03:54 /favicon.ico ................................. ~ 0.08ms
  2025-11-18 07:04:02 /api/logout .................................. ~ 0.14ms
  2025-11-18 07:04:02 /favicon.ico ................................. ~ 0.06ms
  2025-11-18 07:10:40 /api/auth/register ......................... ~ 500.38ms
  2025-11-18 10:40:36 /favicon.ico ................................. ~ 0.17ms
  2025-11-18 10:40:59 /api/auth/login ............................ ~ 500.37ms
  2025-11-18 10:42:22 /api/auth/login ............................ ~ 500.36ms
  2025-11-18 10:42:48 /api/auth/register ......................... ~ 500.33ms
  2025-11-18 10:42:56 / ............................................ ~ 0.12ms
  2025-11-18 10:42:56 /favicon.ico ................................. ~ 0.06ms
  2025-11-18 10:43:17 /api/auth/register ......................... ~ 500.40ms
  2025-11-18 10:48:00 /api/auth/register ......................... ~ 500.45ms
  2025-11-18 10:48:18 /api/auth/register ......................... ~ 500.38ms
  2025-11-18 10:48:32 /api/auth/me ............................... ~ 500.41ms
  2025-11-18 10:53:02 /favicon.ico ................................. ~ 0.15ms
  2025-11-18 10:53:07 /api ......................................... ~ 0.14ms
  2025-11-18 10:53:07 /favicon.ico ................................. ~ 0.07ms
  2025-11-18 10:53:10 / ............................................ ~ 0.14ms
  2025-11-18 10:53:10 /favicon.ico ................................. ~ 0.08ms
  2025-11-18 10:53:47 /api/auth/me ............................... ~ 500.41ms
  2025-11-18 10:54:37 /api/auth/me ................................. ~ 0.18ms
  2025-11-18 10:55:00 /api/auth/me ................................. ~ 0.14ms
  2025-11-18 10:56:21 /api/auth/me ................................. ~ 0.18ms
  2025-11-18 10:57:08 /api/auth/me ................................. ~ 0.14ms
  2025-11-18 10:57:51 /api/auth/me ................................. ~ 0.15ms
  2025-11-18 10:59:20 /api/auth/me ............................... ~ 500.42ms
  2025-11-18 10:59:57 /api/auth/me ................................. ~ 0.15ms
  2025-11-18 11:00:28 /api/auth/me ................................. ~ 0.16ms
  2025-11-18 11:00:37 /api/auth/me ................................. ~ 0.14ms
  2025-11-18 11:03:40 /api/auth/me ................................. ~ 0.19ms
  2025-11-18 11:03:53 /api/auth/register ........................... ~ 0.14ms
  2025-11-18 11:04:44 /api/auth/register ......................... ~ 500.41ms
  2025-11-18 11:14:15 /api/auth/register ......................... ~ 500.50ms
